Temperature_min,Temperature_max,WindSpeedAt3am,WindSpeedAt10am,WindSpeedAt6pm,HumidityLevelAt10am,HumidityAt6pm,PressureAt10am,PressureAt6pm,TemperatureAt10am,TemperatureAt6pm,WillRainTomorrow?
25.7,27.4,62,11,21,102,98,1024.6,1020.8,28.4,31.1,Yes
25.6,32.5,49,9,9,104,64,1029,1023.7,33.2,42.2,No
27,20,43,12,9,109,92,1027.2,1026.7,27.1,27,Yes
33.7,41,43,12,7,65,33,1023.7,1024.3,35.1,48.3,No
32.1,27.9,62,24,31,74,64,1012.3,1017.1,37.5,28.6,Yes
33.3,40.6,47,5,27,66,35,1016.5,1019.7,30.8,49.5,No
27,21.6,41,15,32,98,86,1007.1,1008.4,28.9,30.9,Yes
26.9,23.6,114,34,31,82,103,1003.3,996,32.4,34.8,Yes
30.6,31.7,27,9,11,103,57,1031.8,1028.8,31.9,38.6,No
15.6,25.7,19,2,9,88,37,1032.7,1026.2,21.8,34.7,No
35.4,38.2,68,16,16,101,73,1017.4,1005.5,34.5,43.6,Yes
32.6,27.4,49,4,14,100,103,1018.9,1015.5,33.7,35.3,Yes
32.2,28.4,49,11,20,101,101,1012.5,1019.3,32.8,31.9,Yes
25.7,31.7,59,11,36,69,79,1018.1,1018.5,33.9,30.5,No
20.1,25.5,69,14,27,74,92,1038.3,1038.4,28.8,33.6,Yes
32.5,31.1,58,23,34,73,34,1011.8,1016.7,31.4,39,No
23.1,31.8,50,10,19,64,82,1024.6,1016,35.6,36.9,Yes
9.1,28.1,43,10,16,81,40,1028.8,1023.5,19.7,33.1,No
18.9,21.2,68,31,35,86,77,1013.1,1010.8,17.8,24.6,Yes
16.2,20.6,39,25,23,77,59,1024.2,1021.7,24.8,23.8,No
27.3,46.3,72,10,38,79,27,1012.1,1009.6,43.3,51.8,No
31.1,28.9,31,17,20,102,92,1012.3,1012.2,33.1,39.2,Yes
24.5,41.2,25,3,9,66,34,1024.6,1022.2,27.8,38.9,No
29.3,37.2,51,20,30,50,37,1027.8,1026,35.9,39.4,No
15.8,22.2,51,16,35,80,51,1022.1,1019.7,28.5,34.4,No
24.3,29.5,74,20,36,49,78,1015.7,1016.2,28.3,23.8,No
24.5,21.7,47,16,29,85,44,1028.5,1029.4,30.2,26.5,No
27,25.2,62,25,32,66,43,1019.5,1021.5,25.8,33.4,Yes
31.2,33.9,44,16,14,76,49,1025.6,1021.6,37,41.5,No
19,22.8,29,12,17,65,49,1031.4,1021.3,20.7,36.7,No
33.3,43.7,50,26,23,41,25,1025.1,1019.1,46.6,49.5,No
22.6,32.5,24,11,18,69,44,1036.9,1026.1,28.8,44.2,No
14.8,25,33,6,13,94,46,1027.8,1020.4,23.6,31.7,No
35.3,33.7,37,26,15,64,43,1030,1024.9,34.5,36.6,No
34.6,28.9,60,29,28,105,85,1030.9,1025.4,29,33.6,Yes
25.1,19.8,33,8,17,86,88,1028.7,1028.6,19.3,20.8,Yes
28.1,24.8,43,22,21,70,56,1023.8,1025,27.3,29.2,No
23.5,28.1,24,12,10,104,81,1026.1,1023.1,25.1,32.9,Yes
28.5,33.9,18,14,12,100,70,1035,1031.2,34.3,41.6,No
32.6,27.4,49,4,14,100,103,1018.9,1015.5,33.7,35.3,Yes
35.2,28,32,9,25,96,60,1010.2,1015.3,33,38.4,Yes
20.4,26.3,22,7,6,104,67,1033.5,1028.1,19.4,36.4,No
25.9,30.4,22,11,18,108,71,1033.7,1027.7,33.2,33,Yes
16.3,30.7,29,9,23,84,44,1038.1,1038.1,29.3,41,No
26.8,24.8,53,22,20,82,82,1034,1026.2,24.1,27.2,Yes
15,25.8,21,8,8,88,62,1029.5,1019.6,26.1,31.4,No
28.6,23.6,30,17,19,92,87,1020.7,1016.3,31.7,31.2,Yes
30.6,40.7,63,16,30,81,69,1019.3,1018.2,33.8,47.3,Yes
25.2,27.6,19,12,6,74,45,1031.4,1034.4,24.1,27.4,No
36.8,33.4,69,18,17,97,104,1018.6,1012.8,38.5,33.9,Yes
18.5,19.2,39,23,28,97,72,1025.2,1019.3,23,22.7,No
24.8,25.3,66,20,35,70,50,1016,1014.7,28.6,33,No
22,17,43,12,35,98,82,1014.6,1014.7,25.3,27.4,Yes
27,19.4,34,9,10,107,107,1021.4,1025.1,23.4,28.1,Yes
27.1,28.1,49,20,21,101,53,1020.4,1023.1,32.3,31.3,No
23.2,23.6,37,20,27,78,56,1025.4,1022.1,30.3,27.8,No
29.6,32.2,45,22,27,78,59,1030.2,1025.5,39.6,39.4,No
27.1,29.9,67,16,26,101,98,1004,1005.9,32.5,33.5,Yes
20.6,26.7,38,4,18,97,72,1029,1025.3,30,30.9,No
21.9,37.5,42,9,22,69,35,1023.1,1021.4,29.6,46.8,No
20.3,32.8,38,14,16,74,36,1022.1,1024.8,30.1,43.3,No
24.1,26.1,37,23,21,81,58,1041.8,1037.6,21,30.7,No
